date_forecast,date_scraped,location,precipitation_mm,precipitation_percent,temp_max_celsius,temp_min_celsius,weather_forecast,website_scraped
2021-04-25,2021-04-25 15:19:42,Bern,0,5,20,5,schön,meteotest
2021-04-26,2021-04-25 15:19:42,Bern,0,5,16,5,schön,meteotest
2021-04-27,2021-04-25 15:19:42,Bern,0,5,15,5,leicht bewölkt,meteotest
2021-04-28,2021-04-25 15:19:42,Bern,6,30,15,7,Regenschauer,meteotest
2021-04-29,2021-04-25 15:19:43,Bern,23,60,14,8,Regenschauer,meteotest
2021-04-25,2021-04-25 15:19:50,Zuerich,0,5,20,5,schön,meteotest
2021-04-26,2021-04-25 15:19:50,Zuerich,0,5,16,5,schön,meteotest
2021-04-27,2021-04-25 15:19:50,Zuerich,0,5,15,5,leicht bewölkt,meteotest
2021-04-28,2021-04-25 15:19:50,Zuerich,6,30,15,7,Regenschauer,meteotest
2021-04-29,2021-04-25 15:19:50,Zuerich,23,60,14,8,Regenschauer,meteotest
2021-04-25,2021-04-25 15:19:59,Luzern,0,30,19,7,leicht bewölkt,meteotest
2021-04-26,2021-04-25 15:19:59,Luzern,0,5,16,6,schön,meteotest
2021-04-27,2021-04-25 15:19:59,Luzern,0,30,16,6,leicht bewölkt,meteotest
2021-04-28,2021-04-25 15:19:59,Luzern,3,40,16,8,Regenschauer,meteotest
2021-04-29,2021-04-25 15:19:59,Luzern,12,60,15,9,Regenschauer,meteotest
2021-04-25,2021-04-25 15:20:10,Fribourg,0,5,19,6,leicht bewölkt,meteotest
2021-04-26,2021-04-25 15:20:10,Fribourg,0,5,15,6,schön,meteotest
2021-04-27,2021-04-25 15:20:10,Fribourg,0,5,14,5,leicht bewölkt,meteotest
2021-04-28,2021-04-25 15:20:10,Fribourg,7,30,14,7,Regenschauer,meteotest
2021-04-29,2021-04-25 15:20:10,Fribourg,14,70,12,8,Regenschauer,meteotest
2021-04-25,2021-04-25 15:20:17,Jungfraujoch,0,5,-4,-9,schön,meteotest
2021-04-26,2021-04-25 15:20:17,Jungfraujoch,0,5,-2,-7,schön,meteotest
2021-04-27,2021-04-25 15:20:17,Jungfraujoch,1,5,-4,-8,leicht bewölkt,meteotest
2021-04-28,2021-04-25 15:20:17,Jungfraujoch,2,50,-4,-8,Schneeschauer,meteotest
2021-04-29,2021-04-25 15:20:17,Jungfraujoch,12,80,-6,-8,Schneefall,meteotest
2021-04-26,2021-04-26 11:01:27,Bern,0,5,16,6,schön,meteotest
